word,n
mytalk mobile's web,1
mytalk tools about,1
mytalk tools home,1
mytalktools can be,1
mytalktools can mimic,1
mytalktools had continued,1
mytalktools has so,1
mytalktools i've even,1
mytalktools is still,1
mytalktools is the,1
mytalktools may not,1
name was priceless,1
naturally students give,1
need or can,1
need this one,1
need to communicate,1
needs an inexpensive,1
needs good lighting,1
needs i don't,1
needs more updates,1
needs ordering in,1
needs she can,1
new boards on,1
new device type,1
new students needs,1
new voice thanks,1
nice and huge,1
no class questions,1
no help at,1
no physical prompts,1
no training was,1
non verbal once,1
non verbal student,1
none i have,1
nonverbal clients for,1
not all our,1
not allowing me,1
not even sure,1
not including the,1
not look like,1
not realize that,1
not so good,1
not use app,1
note that one,1
noticed how much,1
noverbal he uses,1
novice mytalktools may,1
now in high,1
now it has,1
now it seems,1
obviously be used,1
of 2 the,1
of a finger,1
of an initial,1
of any curriculum,1
of any student,1
of attribuites to,1
of boards for,1
of communication try,1
of copyright restrictions,1
of customizations that,1
of extra pointing,1
of giving a,1
of his own,1
of if it's,1
of implimentation ideas,1
of language starts,1
of my students,1
of professionals have,1
of saying only,1
of students with,1
of stuff to,1
of subjects wants,1
of the event,1
of the package,1
of the space,1
of the ways,1
of this app,1
of throwing his,1
of time before,1
of time to,1
of use for,1
of use have,1
of work throughout,1
of workspace can,1
of yogurt and,1
of your own,1
off and used,1
old grandson is,1
on a cell,1
on a computer,1
on a variety,1
on an independent,1
on any iphone,1
on closed circuit,1
on creating apps,1
on my granddaughter's,1
on my way,1
on student achievement,1
on the lowest,1
on their i,1
on this app,1
on your lcd,1
on your own,1
once again this,1
once i experimented,1
once i saw,1
once that's how,1
once the basics,1
once you learn,1
one but it,1
one can see,1
one day i,1
one i have,1
one needs good,1
one of my,1
one other app,1
one percent level,1
one school show,1
online workspace however,1
only a few,1
only a matter,1
only app that,1
only but i,1
only complaint i,1
only tried one,1
only way i've,1
only with a,1
only yes yes,1
opinion the workspace,1
option this a,1
option to allow,1
option to edit,1
options and counting,1
or alternate mode,1
or as visual,1
or can afford,1
or flipping it,1
or greet family,1
or icons and,1
or ipad simply,1
or looking for,1
or missing with,1
or movies she,1
or text to,1
or those with,1
or touch via,1
or use the,1
or video to,1
oral class reports,1
order favorite foods,1
ordering in a,1
originally downloaded so,1
other app before,1
other programs where,1
others favorite movies,1
our patients need,1
out and there,1
out answer yes,1
out of any,1
out than using,1
out with apple,1
out workarounds but,1
own body and,1
own ipad and,1
own photos internet,1
own pictures from,1
own possessions his,1
package instantly appeared,1
page and the,1
pain is but,1
paraeducator certificate since,1
parts that may,1
password and voila,1
password and your,1
password for example,1
past the stage,1
paste boards and,1
pasting cells it,1
pathologist and use,1
pathologists you can,1
patient and kind,1
patient used it,1
patients and i,1
patients need or,1
patients themselves the,1
patients which has,1
people he was,1
people really did,1
people with a,1
percent level they,1
perfect app for,1
perfect for teaching,1
perfectly one can,1
personal information once,1
photo album his,1
photographed clean etc,1
photos from the,1
photos internet searches,1
photos of his,1
photos the symbolix,1
physical challenges they,1
physical prompts no,1
pick up the,1
picking it up,1
picture blinks to,1
picture of the,1
picture that said,1
picture you hear,1
pictures from my,1
pictures from the,1
pictures independently with,1
pioneers on creating,1
places to go,1
plus app not,1
plus.i also like,1
pointing and clicking,1
pokey i find,1
possessions his own,1
powerful tool and,1
pratt and his,1
press the picture,1
pressed his picture,1
pretty cool they've,1
pretty straight forward,1
price you guys,1
priceless am anxious,1
problems i have,1
process my talk,1
product and i,1
professional workspace is,1
professional workspace to,1
professionals have given,1
program i am,1
program is amazing,1
program that uses,1
program the students,1
program uses the,1
programmed all the,1
programmed everything in,1
programs where it's,1
projector for the,1
prompts no training,1
provided my information,1
providing affordable access,1
pts can barely,1
pts i love,1
pts if that,1
public library are,1
pull up their,1
pump the sound,1
purchase it i,1
push to evaluate,1
put in your,1
put into developing,1
questions and the,1
questions as well,1
questions have been,1
quick they are,1
quickly and helpfully,1
quickly figure out,1
quickly make communication,1
quickly remedied by,1
quite pokey i,1
rather than most,1
re downloaded it's,1
realize that it,1
really did your,1
really the perfect,1
really thought it,1
reason i like,1
recognize the importance,1
recommend this app,1
recommend this highly,1
recorded speech or,1
recreational activities she,1
redirected to a,1
referred by my,1
rehab and home,1
remedied by bick,1
remember the first,1
remotely and love,1
replicate these boards,1
reports compliment and,1
request for menu,1
required he just,1
responding and the,1
response is lightning,1
responsive is that,1
responsiveness is great,1
restaurant activities to,1
restaurant websites was,1
restaurants commercial entities,1
restrictions that's why,1
return to them,1
revolutionizing this field,1
right in i,1
run the show,1
said his name,1
save units of,1
saw i was,1
say and loved,1
say i love,1
say so students,1
say where pain,1
saying only yes,1
schedules and anything,1
school and in,1
school she attends,1
school show i,1
school we have,1
school year and,1
scoured the internet,1
screen and pump,1
search and a,1
search for examble,1
searches or icons,1
second to none,1
see his face,1
see how many,1
see if this,1
see what else,1
seems fine when,1
seems like a,1
seems slightly buggy,1
seems to create,1
seizures by using,1
select by eye,1
selected it and,1
selects the incorrect,1
sense and become,1
serve as an,1
service for this,1
serving as a,1
set up and,1
set up boards,1
set up but,1
set up the,1
sets of boards,1
setting it up,1
several communication tools,1
she attends what,1
she can tell,1
she didn't have,1
she enjoys about,1
she is six,1
she wants to,1
she watched the,1
show i programmed,1
show on closed,1
show with a,1
simple boards that,1
simple framework the,1
simplicity of use,1
simply by typing,1
simply put in,1
since 2000 this,1
since boards are,1
six and non,1
slightly buggy when,1
slow learners but,1
